team,total_matches,total_runs_scored,total_wickets,avg_runs_per_match,avg_wickets_per_match
Chennai Super Kings,238,38629,1481,162.30672268907563,6.222689075630252
Deccan Chargers,75,11463,446,152.84,5.946666666666666
Delhi Capitals,252,39196,1498,155.53968253968253,5.944444444444445
Gujarat Titans,75,12619,449,168.25333333333333,5.986666666666666
Kochi Tuskers Kerala,14,1901,74,135.78571428571428,5.285714285714286
Kolkata Knight Riders,251,39331,1464,156.69721115537848,5.8326693227091635
Lucknow Super Giants,44,7510,264,170.6818181818182,6.0
Mumbai Indians,261,42176,1591,161.59386973180077,6.095785440613027
Pune Warriors,46,6358,238,138.2173913043478,5.173913043478261
Punjab Kings,246,39600,1411,160.97560975609755,5.735772357723577
Rajasthan Royals,221,34747,1277,157.2262443438914,5.778280542986425
Rising Pune Supergiants,30,4533,189,151.1,6.3
Royal Challengers Bengaluru,255,40622,1494,159.30196078431374,5.858823529411764
Sunrisers Hyderabad,182,29071,1074,159.73076923076923,5.9010989010989015
