venue,matches_hosted
"Wankhede Stadium, Mumbai",118
"M Chinnaswamy Stadium, Bengaluru",94
"Eden Gardens, Kolkata",93
"MA Chidambaram Stadium, Chennai",85
"Rajiv Gandhi International Stadium, Hyderabad",77
"Punjab Cricket Association IS Bindra Stadium, Mohali",61
Feroz Shah Kotla,60
"Sawai Mansingh Stadium, Jaipur",57
Dubai International Cricket Stadium,46
"Dr DY Patil Sports Academy, Mumbai",37
"Maharashtra Cricket Association Stadium, Pune",35
"Arun Jaitley Stadium, Delhi",30
Sheikh Zayed Stadium,29
Sharjah Cricket Stadium,28
"Brabourne Stadium, Mumbai",27
"Narendra Modi Stadium, Ahmedabad",24
Subrata Roy Sahara Stadium,16
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",15
Kingsmead,15
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",14
"Himachal Pradesh Cricket Association Stadium, Dharamsala",13
"Sardar Patel Stadium, Motera",12
SuperSport Park,12
Saurashtra Cricket Association Stadium,10
Holkar Cricket Stadium,9
"Zayed Cricket Stadium, Abu Dhabi",8
New Wanderers Stadium,8
Barabati Stadium,7
St George's Park,7
JSCA International Stadium Complex,7
Newlands,7
Shaheed Veer Narayan Singh International Stadium,6
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",5
Nehru Stadium,5
Green Park,4
De Beers Diamond Oval,3
Buffalo Park,3
"Barsapara Cricket Stadium, Guwahati",3
"Vidarbha Cricket Association Stadium, Jamtha",3
OUTsurance Oval,2
